t;service-gw;service-a;service-b
0;100000;0;20000
2;102000;0;20000
4;104000;0;20000
6;106000;0;20000
8;108000;0;20000
10;110000;0;20000
12;112000;0;20000
14;114000;0;20000
16;116000;0;20000
18;118000;0;20000
20;120000;0;20000
22;122000;0;20000
24;124000;0;20000
26;126000;0;20000
28;128000;0;20000
30;130000;0;30000
32;132000;0;40000
34;134000;0;50000
36;136000;0;60000
38;138000;0;70000
40;140000;0;80000
42;142000;0;90000
44;144000;0;100000
46;146000;0;110000
48;148000;0;120000
50;150000;0;130000
52;152000;0;140000
54;154000;0;150000
56;156000;0;160000
58;158000;0;170000
60;160000;0;180000
62;162000;0;170000
64;164000;0;160000
66;166000;0;150000
68;168000;0;140000
70;170000;0;130000
72;172000;0;120000
74;174000;0;110000
76;176000;0;100000
78;178000;0;90000
80;180000;0;80000
82;182000;0;70000
84;184000;0;60000
86;186000;0;50000
88;188000;0;40000
90;190000;0;30000
92;192000;0;20000
94;194000;0;20000
96;196000;0;20000
98;198000;0;20000
100;200000;0;20000
102;202000;0;20000
104;204000;0;20000
106;206000;0;20000
108;208000;0;20000
110;210000;0;20000
112;212000;0;20000
114;214000;0;20000
116;216000;0;20000
118;218000;0;20000
120;220000;0;20000
