t (min);service-gw-0;service-a-0;service-b-0;service-gw-1;service-a-1;service-b-1;service-gw-2;service-a-2;service-b-2;service-gw-3;service-a-3;service-b-3;service-gw-4;service-a-4;service-b-4;service-gw-5;service-a-5;service-b-5;service-gw-6;service-a-6;service-b-6;service-gw-7;service-a-7;service-b-7;service-gw-8;service-a-8;service-b-8;service-gw-9;service-a-9;service-b-9
0;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000;10000;0;2000
2;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000;10200;0;2000
4;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000;10400;0;2000
6;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000;10600;0;2000
8;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000;10800;0;2000
10;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000;11000;0;2000
12;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000;11200;0;2000
14;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000;11400;0;2000
16;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000;11600;0;2000
18;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000;11800;0;2000
20;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000;12000;0;2000
22;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000;12200;0;2000
24;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000;12400;0;2000
26;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000;12600;0;2000
28;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000;12800;0;2000
30;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000;13000;0;3000
32;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000;13200;0;4000
34;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000;13400;0;5000
36;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000;13600;0;6000
38;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000;13800;0;7000
40;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000;14000;0;8000
42;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000;14200;0;9000
44;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000;14400;0;10000
46;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000;14600;0;11000
48;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000;14800;0;12000
50;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000;15000;0;13000
52;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000;15200;0;14000
54;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000;15400;0;15000
56;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000;15600;0;16000
58;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000;15800;0;17000
60;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000;16000;0;18000
62;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000;16200;0;17000
64;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000;16400;0;16000
66;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000;16600;0;15000
